,Age,Workclass,Education-Num,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,Hoursperweek,Country,income,prediction,index
4705,40.0,Private,9.0,Divorced,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,48.0,Mexico,False,False,53
22559,63.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,35.0,United-States,False,False,54
25913,46.0,State-gov,10.0,Married-civ-spouse,Protective-serv,Husband,Black,Male,0.0,0.0,70.0,United-States,True,False,55
11279,38.0,Private,13.0,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0.0,213.0,40.0,Philippines,False,False,56
5509,32.0,State-gov,12.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,35.0,United-States,False,False,57
14945,23.0,?,7.0,Never-married,?,Own-child,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,False,False,58
25096,21.0,Private,9.0,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,30.0,United-States,False,False,59
2820,32.0,Federal-gov,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,False,True,60
18544,52.0,Private,9.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,61
6641,19.0,Private,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,False,False,62
27352,26.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,42.0,United-States,False,False,63
23805,34.0,Self-emp-inc,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,50.0,United-States,False,False,64
31914,50.0,Private,13.0,Separated,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,True,False,65
20794,32.0,Local-gov,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,66
8248,23.0,Private,13.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,20.0,United-States,False,False,67
26298,24.0,Local-gov,13.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,50.0,United-States,False,False,68
20730,22.0,Private,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,38.0,United-States,False,False,69
6231,66.0,?,10.0,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,20.0,United-States,False,False,70
22474,34.0,Private,7.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,25.0,?,False,False,71
22627,37.0,Private,11.0,Never-married,Adm-clerical,Not-in-family,Other,Female,4101.0,0.0,35.0,United-States,False,False,72
480,33.0,Private,12.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,Portugal,False,False,73
32190,34.0,Private,13.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,False,False,74
30323,21.0,State-gov,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,43.0,United-States,False,False,75
2588,33.0,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,True,False,76
22378,44.0,?,4.0,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,25.0,United-States,False,False,77
5188,33.0,Private,7.0,Never-married,Transport-moving,Not-in-family,Black,Male,0.0,0.0,60.0,United-States,False,False,78
16500,52.0,Private,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,?,True,True,79
13636,78.0,Self-emp-inc,7.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,10.0,United-States,False,False,80
22044,52.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States,False,False,81
20137,56.0,Private,6.0,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0.0,0.0,30.0,Japan,True,False,82
16351,29.0,Private,12.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,False,False,83
26170,47.0,Private,15.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,True,True,84
7937,19.0,Private,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,16.0,United-States,False,False,85
31452,55.0,Local-gov,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,3103.0,0.0,45.0,United-States,True,True,86
16482,42.0,Self-emp-inc,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,True,True,87
16986,34.0,Private,5.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,88
12501,28.0,Private,11.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,False,False,89
31524,51.0,Self-emp-not-inc,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,True,True,90
32203,51.0,Federal-gov,16.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,15024.0,0.0,40.0,Vietnam,True,True,91
14708,30.0,Private,9.0,Never-married,Exec-managerial,Own-child,Black,Female,0.0,0.0,35.0,Jamaica,False,False,92
2080,59.0,Local-gov,9.0,Separated,Protective-serv,Unmarried,Black,Female,0.0,0.0,40.0,United-States,False,False,93
10675,33.0,Private,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,94
3054,42.0,Self-emp-not-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,False,False,95
25832,46.0,Self-emp-not-inc,9.0,Widowed,Other-service,Other-relative,White,Female,0.0,0.0,40.0,United-States,False,False,96
30675,44.0,Private,12.0,Never-married,Prof-specialty,Unmarried,Black,Female,1151.0,0.0,50.0,United-States,False,False,97
2688,42.0,Private,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,58.0,United-States,False,True,98
28940,46.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1848.0,45.0,United-States,True,True,99
27053,46.0,Private,4.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,52.0,United-States,False,False,100
19283,61.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,60.0,United-States,False,False,101
5403,32.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,False,True,102
21885,40.0,Private,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,45.0,United-States,True,True,103
23849,37.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,True,True,104
15529,45.0,Self-emp-not-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,25.0,United-States,False,False,105
32351,60.0,Private,4.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,106
4416,21.0,Private,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,10.0,United-States,False,False,107
14942,51.0,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,55.0,United-States,True,False,108
10114,43.0,State-gov,16.0,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,25236.0,0.0,64.0,United-States,True,True,109
29051,20.0,Private,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,35.0,United-States,False,False,110
17036,30.0,Private,9.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,111
12817,40.0,Local-gov,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,True,True,112
9220,55.0,Private,9.0,Separated,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,False,False,113
15325,44.0,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,False,True,114
21766,37.0,Private,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,False,False,115
9032,46.0,Local-gov,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,65.0,United-States,False,True,116
22982,21.0,Private,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,False,False,117
24330,45.0,Self-emp-not-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,45.0,China,True,True,118
24716,35.0,Self-emp-inc,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,60.0,United-States,False,False,119
30554,22.0,Private,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,35.0,United-States,False,False,120
25193,39.0,Private,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,121
2116,37.0,Private,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,1669.0,55.0,United-States,False,False,122
56,46.0,Private,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,False,False,123
9932,28.0,Self-emp-not-inc,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,124
6460,59.0,Private,9.0,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0.0,0.0,20.0,Puerto-Rico,False,False,125
12150,23.0,Private,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,30.0,United-States,False,False,126
28426,28.0,Private,9.0,Never-married,Other-service,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,False,False,127
12468,34.0,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,65.0,United-States,True,True,128
24259,61.0,Private,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,129
6453,42.0,Federal-gov,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,14084.0,0.0,60.0,United-States,True,True,130
22223,47.0,Private,9.0,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,40.0,United-States,True,False,131
10006,29.0,Private,9.0,Never-married,Farming-fishing,Unmarried,White,Male,0.0,0.0,35.0,United-States,False,False,132
16162,35.0,Self-emp-not-inc,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,133
11440,67.0,Private,9.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,35.0,United-States,False,False,134
9396,54.0,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,4064.0,0.0,55.0,United-States,False,True,135
16857,31.0,Private,9.0,Separated,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,136
11163,23.0,Private,9.0,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,False,False,137
30900,29.0,Private,13.0,Never-married,Craft-repair,Not-in-family,White,Female,0.0,0.0,45.0,United-States,False,False,138
4598,24.0,State-gov,14.0,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,10.0,China,False,False,139
10746,35.0,?,10.0,Never-married,?,Unmarried,Black,Female,0.0,0.0,40.0,United-States,False,False,140
5018,33.0,Federal-gov,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50.0,United-States,False,False,141
17288,47.0,Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,45.0,United-States,False,False,142
29129,41.0,Self-emp-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,False,False,143
18187,46.0,Private,10.0,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States,False,False,144
11272,40.0,Private,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,50.0,United-States,True,False,145
15693,68.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,2414.0,0.0,40.0,United-States,False,False,146
20396,41.0,?,8.0,Divorced,?,Not-in-family,White,Female,0.0,0.0,40.0,Canada,False,False,147
23094,32.0,Private,11.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,45.0,United-States,False,False,148
21396,35.0,Self-emp-not-inc,9.0,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0.0,0.0,15.0,United-States,False,False,149
31929,43.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30.0,United-States,False,False,150
13889,33.0,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,151
21570,34.0,Private,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,152
2558,58.0,State-gov,16.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4064.0,0.0,40.0,India,False,True,153
15414,18.0,?,9.0,Never-married,?,Own-child,White,Female,0.0,0.0,20.0,United-States,False,False,154
25793,29.0,Private,7.0,Separated,Sales,Not-in-family,White,Female,0.0,2754.0,42.0,United-States,False,False,155
28430,38.0,State-gov,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,38.0,United-States,False,False,156
13595,29.0,Self-emp-not-inc,12.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,60.0,United-States,False,False,157
1609,50.0,Private,10.0,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,False,False,158
11361,40.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,False,False,159
18583,26.0,Private,13.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,False,False,160
31404,34.0,Private,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,50.0,United-States,False,False,161
8088,54.0,?,1.0,Married-civ-spouse,?,Wife,White,Female,0.0,0.0,40.0,Mexico,False,False,162
28619,38.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,43.0,United-States,False,False,163
29908,33.0,Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,164
8874,45.0,Private,9.0,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,10520.0,0.0,40.0,United-States,True,True,165
19941,50.0,Private,9.0,Divorced,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,166
25727,18.0,Private,7.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,16.0,United-States,False,False,167
2192,48.0,Private,8.0,Separated,Adm-clerical,Own-child,Black,Female,0.0,0.0,40.0,United-States,False,False,168
25132,41.0,Local-gov,13.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,35.0,United-States,False,False,169
24710,31.0,Private,10.0,Never-married,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,False,False,170
24193,32.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,171
23292,19.0,Private,8.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,25.0,United-States,False,False,172
25115,25.0,Local-gov,9.0,Never-married,Prof-specialty,Own-child,Black,Female,0.0,0.0,40.0,United-States,False,False,173
13581,55.0,Private,10.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,False,False,174
28004,39.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,False,False,175
21341,65.0,Self-emp-not-inc,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,2290.0,0.0,40.0,United-States,False,True,176
16792,31.0,Private,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,1504.0,40.0,United-States,False,False,177
15725,23.0,Private,9.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,38.0,United-States,False,False,178
17349,32.0,Private,10.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,50.0,United-States,False,False,179
27936,27.0,Private,13.0,Divorced,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,False,False,180
16149,40.0,Private,6.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,35.0,United-States,False,False,181
22570,43.0,Self-emp-inc,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,True,True,182
31435,53.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103.0,0.0,40.0,United-States,True,True,183
30365,55.0,Private,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,53.0,United-States,True,False,184
23054,68.0,Federal-gov,9.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,3683.0,40.0,United-States,False,True,185
6368,22.0,Private,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,16.0,United-States,False,False,186
16181,60.0,Local-gov,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,187
19417,44.0,Private,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,24.0,United-States,True,True,188
16454,62.0,?,9.0,Married-civ-spouse,?,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,189
23183,39.0,Local-gov,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,True,False,190
7951,58.0,Private,10.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,30.0,United-States,False,False,191
26353,49.0,State-gov,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,True,False,192
10085,21.0,Private,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States,False,False,193
12058,36.0,Self-emp-not-inc,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,55.0,United-States,True,False,194
22770,41.0,Private,13.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States,False,False,195
30948,41.0,Private,11.0,Married-civ-spouse,Sales,Husband,White,Male,4386.0,0.0,60.0,United-States,True,True,196
15854,22.0,Private,10.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,98.0,United-States,False,False,197
17370,42.0,Local-gov,14.0,Separated,Exec-managerial,Unmarried,Black,Male,0.0,0.0,45.0,United-States,True,False,198
11044,47.0,State-gov,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,True,True,199
20386,40.0,Private,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688.0,0.0,40.0,United-States,True,True,200
18713,30.0,Private,11.0,Never-married,Prof-specialty,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,False,False,201
14261,22.0,Private,9.0,Never-married,Exec-managerial,Other-relative,White,Female,0.0,0.0,42.0,Germany,False,False,202
28924,42.0,Private,13.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,True,False,203
22493,59.0,Private,9.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,35.0,United-States,False,False,204
2288,34.0,Private,10.0,Married-civ-spouse,Protective-serv,Other-relative,Black,Female,0.0,0.0,25.0,Haiti,False,False,205
26542,39.0,Private,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,False,False,206
17329,30.0,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,207
31192,31.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,208
609,17.0,Private,6.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,21.0,United-States,False,False,209
5235,22.0,Private,7.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,False,False,210
12305,30.0,Private,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,211
26651,19.0,Private,9.0,Never-married,Adm-clerical,Own-child,Other,Female,0.0,0.0,25.0,Puerto-Rico,False,False,212
4352,28.0,Private,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,50.0,United-States,False,False,213
7827,29.0,Self-emp-not-inc,10.0,Divorced,Craft-repair,Not-in-family,White,Male,2202.0,0.0,50.0,United-States,False,False,214
30547,18.0,Private,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,15.0,United-States,False,False,215
27877,39.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,216
28193,21.0,Private,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2377.0,48.0,United-States,False,True,217
22319,37.0,Private,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,False,False,218
22932,23.0,Private,9.0,Never-married,Other-service,Not-in-family,Black,Male,0.0,0.0,30.0,United-States,False,False,219
15680,22.0,Private,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,False,False,220
