,Age,Workclass,Education-Num,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,Hoursperweek,Country,income,prediction,index
3935,-1.5821819,4,-1.1974403,4,12,3,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,22
27569,-0.042641316,0,-0.42005304,0,0,1,2,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,23
29581,-1.2889361,4,-0.03135939,4,12,2,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,24
16845,-1.1423132,4,-0.42005304,2,6,4,2,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,25
20435,1.3502764,5,-0.42005304,2,12,4,4,1,-0.14591824,4.5034127,-0.84531397,39,True,True,26
9595,1.4235879,2,-2.752215,0,8,2,2,0,-0.14591824,-0.21665621,-0.03542877,14,False,False,27
16243,1.4235879,6,1.1347215,2,4,4,4,1,-0.14591824,-0.21665621,0.77445644,39,False,True,28
9852,1.0570306,4,-0.42005304,2,7,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,True,False,29
26043,0.2506045,4,0.35733426,0,4,3,0,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,30
3809,-0.9956903,4,-0.03135939,2,12,4,4,1,-0.14591824,-0.21665621,0.2885253,39,True,False,31
17841,0.76378477,5,-0.03135939,2,5,4,4,1,-0.14591824,-0.21665621,1.5843416,39,False,False,32
11549,-1.3622476,4,-0.03135939,4,8,3,4,1,-0.14591824,-0.21665621,-1.6551992,39,False,False,33
16558,-0.18926424,4,0.7460279,2,3,4,4,1,-0.14591824,-0.21665621,0.3695138,39,False,False,34
25981,1.7901452,4,-0.42005304,6,8,1,4,0,-0.14591824,-0.21665621,-1.3312451,39,False,False,35
24393,-1.1423132,4,1.1347215,4,10,0,4,0,-0.14591824,-0.21665621,-0.1974058,39,False,False,36
30621,-0.48251006,2,1.1347215,2,10,5,4,0,-0.14591824,-0.21665621,-0.44037136,39,True,True,37
11930,-0.92237884,4,-0.03135939,2,14,4,4,1,-0.14591824,-0.21665621,0.93643343,39,True,False,38
3682,-0.042641316,4,-0.03135939,2,4,4,2,1,-0.14591824,-0.21665621,0.77445644,39,False,False,39
20920,-1.3622476,4,-0.42005304,4,8,0,4,0,-0.14591824,-0.21665621,-1.6551992,39,False,False,40
19226,-0.18926424,4,-0.42005304,2,7,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,41
30126,-0.7757559,4,-0.42005304,4,1,0,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,42
30680,-0.7757559,4,1.1347215,4,10,0,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,43
20764,-0.629133,1,1.1347215,4,10,0,4,1,-0.14591824,4.4388905,-0.03542877,39,False,False,44
1945,-0.115952775,4,1.5234151,2,4,4,4,1,-0.14591824,5.7764916,1.5843416,39,True,True,45
24685,0.39722744,4,-0.03135939,0,1,1,4,0,-0.14591824,-0.21665621,-0.1974058,39,False,False,46
9182,0.54385036,4,-0.03135939,2,12,4,4,1,-0.14591824,-0.21665621,0.6124794,39,True,False,47
10900,-0.629133,7,0.35733426,2,11,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,48
10076,-1.0690018,4,-0.03135939,4,1,0,2,1,-0.14591824,-0.21665621,-1.6551992,39,False,False,49
29317,-0.4091986,4,-0.80874664,2,11,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,50
3852,-1.435559,4,-0.03135939,4,8,3,4,0,-0.14591824,-0.21665621,-1.6551992,39,False,False,51
32238,0.6171618,4,1.9121088,2,4,4,4,1,13.394372,-0.21665621,-0.03542877,39,True,True,52
4705,0.10398161,4,-0.42005304,0,7,1,4,0,-0.14591824,-0.21665621,0.6124794,26,False,False,53
22559,1.7901452,6,-0.42005304,2,5,4,4,1,-0.14591824,-0.21665621,-0.44037136,39,False,False,54
25913,0.54385036,7,-0.03135939,2,11,4,2,1,-0.14591824,-0.21665621,2.3942268,39,True,False,55
11279,-0.042641316,4,1.1347215,0,1,1,1,0,-0.14591824,0.31193197,-0.03542877,30,False,False,56
5509,-0.48251006,7,0.7460279,2,8,4,4,1,-0.14591824,-0.21665621,-0.44037136,39,False,False,57
14945,-1.1423132,0,-1.1974403,4,0,3,0,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,58
25096,-1.2889361,4,-0.42005304,4,8,3,2,0,-0.14591824,-0.21665621,-0.84531397,39,False,False,59
2820,-0.48251006,1,1.1347215,2,4,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,True,60
18544,0.9837191,4,-0.42005304,0,12,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,61
6641,-1.435559,4,-0.42005304,4,7,3,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,62
27352,-0.92237884,4,-0.03135939,2,1,5,4,0,-0.14591824,-0.21665621,0.12654826,39,False,False,63
23805,-0.33588716,5,-0.42005304,0,12,0,4,0,-0.14591824,-0.21665621,0.77445644,39,False,False,64
31914,0.8370962,4,1.1347215,5,12,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,True,False,65
20794,-0.48251006,2,-0.42005304,2,11,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,66
8248,-1.1423132,4,1.1347215,2,8,4,4,1,-0.14591824,-0.21665621,-1.6551992,39,False,False,67
26298,-1.0690018,2,1.1347215,4,10,3,4,0,-0.14591824,-0.21665621,0.77445644,39,False,False,68
20730,-1.2156247,4,-0.03135939,4,8,3,4,0,-0.14591824,-0.21665621,-0.1974058,39,False,False,69
6231,2.0100796,0,-0.03135939,2,0,4,4,1,-0.14591824,-0.21665621,-1.6551992,39,False,False,70
22474,-0.33588716,4,-1.1974403,2,12,4,4,1,-0.14591824,-0.21665621,-1.2502565,0,False,False,71
22627,-0.115952775,4,0.35733426,4,1,0,3,0,0.40937462,-0.21665621,-0.44037136,39,False,False,72
480,-0.4091986,4,0.7460279,2,3,4,4,1,-0.14591824,-0.21665621,0.3695138,32,False,False,73
32190,-0.33588716,4,1.1347215,4,4,3,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,74
30323,-1.2889361,7,-0.42005304,4,1,3,4,0,-0.14591824,-0.21665621,0.20753679,39,False,False,75
2588,-0.4091986,4,-0.03135939,2,4,4,4,1,-0.14591824,-0.21665621,0.77445644,39,True,False,76
22378,0.39722744,0,-2.363521,2,0,4,4,1,-0.14591824,-0.21665621,-1.2502565,39,False,False,77
5188,-0.4091986,4,-1.1974403,4,14,0,2,1,-0.14591824,-0.21665621,1.5843416,39,False,False,78
16500,0.9837191,4,2.3008025,2,10,4,4,1,-0.14591824,-0.21665621,-0.03542877,0,True,True,79
13636,2.889817,5,-1.1974403,2,4,4,4,1,-0.14591824,-0.21665621,-2.4650843,39,False,False,80
22044,0.9837191,4,-0.03135939,0,1,1,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,81
20137,1.2769649,4,-1.586134,2,12,5,1,0,-0.14591824,-0.21665621,-0.84531397,24,True,False,82
16351,-0.70244443,4,0.7460279,4,12,3,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,83
26170,0.6171618,4,1.9121088,2,12,4,4,1,-0.14591824,-0.21665621,0.3695138,39,True,True,84
7937,-1.435559,4,-0.03135939,4,8,3,4,0,-0.14591824,-0.21665621,-1.9791532,39,False,False,85
31452,1.2036535,2,1.5234151,2,10,5,4,0,0.27424118,-0.21665621,0.3695138,39,True,True,86
16482,0.2506045,5,2.3008025,2,10,4,4,1,-0.14591824,-0.21665621,0.3695138,39,True,True,87
16986,-0.33588716,4,-1.9748275,4,3,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,88
12501,-0.7757559,4,0.35733426,4,12,0,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,89
31524,0.91040766,6,0.7460279,2,4,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,True,True,90
32203,0.91040766,1,2.3008025,2,10,4,1,1,1.8883954,-0.21665621,-0.03542877,40,True,True,91
14708,-0.629133,4,-0.42005304,4,4,3,2,0,-0.14591824,-0.21665621,-0.44037136,23,False,False,92
2080,1.4968994,2,-0.42005304,5,11,1,2,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,93
10675,-0.4091986,4,-0.42005304,2,6,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,94
3054,0.2506045,6,-0.42005304,2,4,4,4,1,-0.14591824,-0.21665621,0.77445644,39,False,False,95
25832,0.54385036,6,-0.42005304,6,8,2,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,96
30675,0.39722744,4,0.7460279,4,10,1,2,0,0.009932064,-0.21665621,0.77445644,39,False,False,97
2688,0.2506045,4,1.1347215,2,14,4,4,1,-0.14591824,-0.21665621,1.4223646,39,False,True,98
28940,0.54385036,4,1.1347215,2,10,4,4,1,-0.14591824,4.369405,0.3695138,39,True,True,99
27053,0.54385036,4,-2.363521,4,8,3,4,1,-0.14591824,-0.21665621,0.93643343,39,False,False,100
19283,1.6435223,6,-0.42005304,2,5,4,4,1,-0.14591824,-0.21665621,1.5843416,39,False,False,101
5403,-0.48251006,4,1.1347215,2,4,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,True,102
21885,0.10398161,4,1.1347215,2,4,5,4,0,-0.14591824,-0.21665621,0.3695138,39,True,True,103
23849,-0.115952775,4,1.1347215,2,10,4,4,1,-0.14591824,-0.21665621,0.3695138,39,True,True,104
15529,0.4705389,6,-0.42005304,2,4,4,4,1,-0.14591824,-0.21665621,-1.2502565,39,False,False,105
32351,1.5702108,4,-2.363521,3,7,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,106
4416,-1.2889361,4,-0.03135939,4,1,3,4,0,-0.14591824,-0.21665621,-2.4650843,39,False,False,107
14942,0.91040766,4,-0.42005304,2,12,4,4,1,-0.14591824,-0.21665621,1.179399,39,True,False,108
10114,0.323916,7,2.3008025,3,10,1,4,1,3.2711437,-0.21665621,1.9082956,39,True,True,109
29051,-1.3622476,4,-0.03135939,4,12,3,4,1,-0.14591824,-0.21665621,-0.44037136,39,False,False,110
17036,-0.629133,4,-0.42005304,2,13,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,111
12817,0.10398161,2,0.7460279,2,4,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,True,True,112
9220,1.2036535,4,-0.42005304,5,1,0,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,113
15325,0.39722744,4,-0.03135939,2,4,4,4,1,-0.14591824,-0.21665621,0.77445644,39,False,True,114
21766,-0.115952775,4,-0.03135939,0,1,0,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,115
9032,0.54385036,2,-0.42005304,2,4,4,4,1,-0.14591824,-0.21665621,1.9892842,39,False,True,116
22982,-1.2889361,4,-0.03135939,4,8,3,4,0,-0.14591824,-0.21665621,-1.6551992,39,False,False,117
24330,0.4705389,6,1.1347215,2,4,4,1,1,-0.14591824,-0.21665621,0.3695138,3,True,True,118
24716,-0.2625757,5,-0.42005304,4,14,0,4,1,-0.14591824,-0.21665621,1.5843416,39,False,False,119
30554,-1.2156247,4,-0.03135939,4,1,0,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,120
25193,0.030670146,4,-0.03135939,4,3,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,121
2116,-0.115952775,4,-0.42005304,0,3,0,4,1,-0.14591824,3.9251919,1.179399,39,False,False,122
56,0.54385036,4,-2.752215,2,7,4,4,1,-0.14591824,-0.21665621,-0.03542877,26,False,False,123
9932,-0.7757559,6,-0.03135939,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,124
6460,1.4968994,4,-0.42005304,3,1,1,4,0,-0.14591824,-0.21665621,-1.6551992,33,False,False,125
12150,-1.1423132,4,-0.03135939,4,8,3,4,0,-0.14591824,-0.21665621,-0.84531397,39,False,False,126
28426,-0.7757559,4,-0.42005304,4,8,0,2,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,127
12468,-0.33588716,4,1.1347215,2,4,4,4,1,-0.14591824,-0.21665621,1.9892842,39,True,True,128
24259,1.6435223,4,-1.9748275,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,129
6453,0.2506045,1,1.5234151,4,4,0,4,0,1.7611154,-0.21665621,1.5843416,39,True,True,130
22223,0.6171618,4,-0.42005304,2,12,4,2,1,-0.14591824,-0.21665621,-0.03542877,39,True,False,131
10006,-0.70244443,4,-0.42005304,4,5,1,4,1,-0.14591824,-0.21665621,-0.44037136,39,False,False,132
16162,-0.2625757,6,-1.9748275,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,133
11440,2.083391,4,-0.42005304,4,4,0,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,134
9396,1.130342,4,-0.42005304,2,12,4,4,1,0.40436465,-0.21665621,1.179399,39,False,True,135
16857,-0.55582154,4,-0.42005304,5,8,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,136
11163,-1.1423132,4,-0.42005304,4,3,3,0,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,137
30900,-0.70244443,4,1.1347215,4,3,0,4,0,-0.14591824,-0.21665621,0.3695138,39,False,False,138
4598,-1.0690018,7,1.5234151,3,10,0,1,0,-0.14591824,-0.21665621,-2.4650843,3,False,False,139
10746,-0.2625757,0,-0.03135939,4,0,1,2,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,140
5018,-0.4091986,1,-0.03135939,4,4,0,4,1,-0.14591824,-0.21665621,0.77445644,39,False,False,141
17288,0.6171618,4,-0.42005304,2,7,4,4,1,-0.14591824,-0.21665621,0.3695138,39,False,False,142
29129,0.17729306,5,-0.42005304,2,3,4,4,1,-0.14591824,-0.21665621,0.77445644,39,False,False,143
18187,0.54385036,4,-0.03135939,3,12,1,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,144
11272,0.10398161,4,-0.03135939,2,7,4,4,1,-0.14591824,-0.21665621,0.77445644,39,True,False,145
15693,2.1567025,6,-0.42005304,2,5,4,4,1,0.18094765,-0.21665621,-0.03542877,39,False,False,146
20396,0.17729306,0,-0.80874664,0,0,0,4,0,-0.14591824,-0.21665621,-0.03542877,2,False,False,147
23094,-0.48251006,4,0.35733426,4,8,0,4,1,-0.14591824,-0.21665621,0.3695138,39,False,False,148
21396,-0.2625757,6,-0.42005304,0,3,3,0,1,-0.14591824,-0.21665621,-2.0601418,39,False,False,149
31929,0.323916,6,-0.42005304,2,5,4,4,1,-0.14591824,-0.21665621,-0.84531397,39,False,False,150
13889,-0.4091986,4,-0.42005304,2,12,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,151
21570,-0.33588716,4,-0.42005304,0,7,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,152
2558,1.4235879,7,2.3008025,2,10,4,1,1,0.40436465,-0.21665621,-0.03542877,19,False,True,153
15414,-1.5088705,0,-0.42005304,4,0,3,4,0,-0.14591824,-0.21665621,-1.6551992,39,False,False,154
25793,-0.70244443,4,-1.1974403,5,12,0,4,0,-0.14591824,6.617766,0.12654826,39,False,False,155
28430,-0.042641316,7,-0.42005304,0,1,0,4,0,-0.14591824,-0.21665621,-0.1974058,39,False,False,156
13595,-0.70244443,6,0.7460279,4,8,3,4,1,-0.14591824,-0.21665621,1.5843416,39,False,False,157
1609,0.8370962,4,-0.03135939,0,8,1,1,1,-0.14591824,-0.21665621,-0.03542877,30,False,False,158
11361,0.10398161,4,-0.42005304,2,3,4,2,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,159
18583,-0.92237884,4,1.1347215,4,1,3,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,160
31404,-0.33588716,4,-0.42005304,2,8,4,4,1,-0.14591824,-0.21665621,0.77445644,39,False,False,161
8088,1.130342,0,-3.529602,2,0,5,4,0,-0.14591824,-0.21665621,-0.03542877,26,False,False,162
28619,-0.042641316,4,-0.03135939,0,1,1,4,0,-0.14591824,-0.21665621,0.20753679,39,False,False,163
29908,-0.4091986,6,-0.42005304,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,164
8874,0.4705389,4,-0.42005304,0,3,0,1,1,1.2785347,-0.21665621,-0.03542877,39,True,True,165
19941,0.8370962,4,-0.42005304,0,8,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,166
25727,-1.5088705,4,-1.1974403,4,12,3,4,1,-0.14591824,-0.21665621,-1.9791532,39,False,False,167
2192,0.69047326,4,-0.80874664,5,1,3,2,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,168
25132,0.17729306,2,1.1347215,0,10,1,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,169
24710,-0.55582154,4,-0.03135939,4,1,1,2,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,170
24193,-0.48251006,4,1.1347215,2,10,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,171
23292,-1.435559,4,-0.80874664,4,8,3,4,1,-0.14591824,-0.21665621,-1.2502565,39,False,False,172
25115,-0.9956903,2,-0.42005304,4,10,3,2,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,173
13581,1.2036535,4,-0.03135939,6,8,0,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,174
28004,0.030670146,4,-0.42005304,4,1,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,175
21341,1.936768,6,-0.03135939,2,4,4,4,1,0.16415751,-0.21665621,-0.03542877,39,False,True,176
16792,-0.55582154,4,-0.03135939,4,12,0,4,0,-0.14591824,3.5157223,-0.03542877,39,False,False,177
15725,-1.1423132,4,-0.42005304,4,14,0,4,1,-0.14591824,-0.21665621,-0.1974058,39,False,False,178
17349,-0.48251006,4,-0.03135939,4,12,0,4,1,-0.14591824,-0.21665621,0.77445644,39,False,False,179
27936,-0.8490674,4,1.1347215,0,6,3,2,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,180
16149,0.10398161,4,-1.586134,0,7,0,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,181
22570,0.323916,5,1.5234151,2,4,4,4,1,-0.14591824,-0.21665621,0.77445644,39,True,True,182
31435,1.0570306,4,1.5234151,2,10,4,4,1,0.27424118,-0.21665621,-0.03542877,39,True,True,183
30365,1.2036535,4,-0.42005304,2,5,4,4,1,-0.14591824,-0.21665621,1.017422,39,True,False,184
23054,2.1567025,1,-0.42005304,0,10,0,4,0,-0.14591824,8.923204,-0.03542877,39,False,True,185
6368,-1.2156247,4,-0.42005304,4,6,3,4,1,-0.14591824,-0.21665621,-1.9791532,39,False,False,186
16181,1.5702108,2,-0.42005304,2,8,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,187
19417,0.39722744,4,1.5234151,2,4,5,4,0,-0.14591824,-0.21665621,-1.3312451,39,True,True,188
16454,1.7168337,0,-0.42005304,2,0,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,189
23183,0.030670146,2,-0.42005304,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,True,False,190
7951,1.4235879,4,-0.03135939,2,8,5,4,0,-0.14591824,-0.21665621,-0.84531397,39,False,False,191
26353,0.76378477,7,-0.03135939,2,10,4,4,1,-0.14591824,-0.21665621,0.77445644,39,True,False,192
10085,-1.2889361,4,-0.03135939,4,8,3,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,193
12058,-0.18926424,6,1.9121088,4,10,0,4,1,-0.14591824,-0.21665621,1.179399,39,True,False,194
22770,0.17729306,4,1.1347215,0,4,1,4,0,-0.14591824,-0.21665621,0.3695138,39,False,False,195
30948,0.17729306,4,0.35733426,2,12,4,4,1,0.44796482,-0.21665621,1.5843416,39,True,True,196
15854,-1.2156247,4,-0.03135939,4,10,3,4,1,-0.14591824,-0.21665621,4.6619053,39,False,False,197
17370,0.2506045,2,1.5234151,5,4,1,2,1,-0.14591824,-0.21665621,0.3695138,39,True,False,198
11044,0.6171618,7,1.1347215,2,10,4,4,1,-0.14591824,-0.21665621,1.5843416,39,True,True,199
20386,0.10398161,4,1.5234151,2,10,4,4,1,0.8950697,-0.21665621,-0.03542877,39,True,True,200
18713,-0.629133,4,0.35733426,4,10,0,2,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,201
14261,-1.2156247,4,-0.42005304,4,4,2,4,0,-0.14591824,-0.21665621,0.12654826,11,False,False,202
28924,0.2506045,4,1.1347215,2,1,4,1,1,-0.14591824,-0.21665621,-0.03542877,30,True,False,203
22493,1.4968994,4,-0.42005304,6,8,0,4,0,-0.14591824,-0.21665621,-0.44037136,39,False,False,204
2288,-0.33588716,4,-0.03135939,2,11,2,2,0,-0.14591824,-0.21665621,-1.2502565,14,False,False,205
26542,0.030670146,4,-0.42005304,2,10,4,4,1,-0.14591824,-0.21665621,0.3695138,39,False,False,206
17329,-0.629133,4,-0.42005304,2,12,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,207
31192,-0.55582154,4,-0.42005304,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,208
609,-1.5821819,4,-1.586134,4,8,3,4,0,-0.14591824,-0.21665621,-1.5742106,39,False,False,209
5235,-1.2156247,4,-1.1974403,4,12,0,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,210
12305,-0.629133,4,-0.03135939,2,6,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,211
26651,-1.435559,4,-0.42005304,4,1,3,3,0,-0.14591824,-0.21665621,-1.2502565,33,False,False,212
4352,-0.7757559,4,-0.42005304,0,14,0,4,1,-0.14591824,-0.21665621,0.77445644,39,False,False,213
7827,-0.70244443,6,-0.03135939,0,3,0,4,1,0.15224195,-0.21665621,0.77445644,39,False,False,214
30547,-1.5088705,4,-1.1974403,4,8,3,4,0,-0.14591824,-0.21665621,-2.0601418,39,False,False,215
27877,0.030670146,4,-0.42005304,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,216
28193,-1.2889361,4,-0.03135939,2,4,4,4,1,-0.14591824,5.6821895,0.6124794,39,False,True,217
22319,-0.115952775,4,-0.42005304,2,14,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,218
22932,-1.1423132,4,-0.42005304,4,8,0,2,1,-0.14591824,-0.21665621,-0.84531397,39,False,False,219
15680,-1.2156247,4,-0.03135939,4,12,3,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,220
18485,1.2769649,5,-0.03135939,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,221
15098,1.7901452,6,1.1347215,2,12,4,4,1,-0.14591824,-0.21665621,-2.0601418,39,False,True,222
15293,-0.9956903,4,-1.1974403,3,6,0,4,1,-0.14591824,-0.21665621,-0.03542877,26,False,False,223
15429,-0.18926424,4,-0.42005304,2,4,5,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,224
20819,-0.629133,4,1.1347215,4,10,0,4,1,1.6888095,-0.21665621,0.3695138,39,True,True,225
14996,-0.2625757,4,-0.03135939,2,14,4,4,1,-0.14591824,-0.21665621,-0.03542877,11,False,False,226
905,0.54385036,4,-0.42005304,0,7,0,4,0,-0.14591824,-0.21665621,-0.1974058,39,False,False,227
26746,0.54385036,4,0.7460279,4,1,0,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,228
22308,-1.0690018,4,-0.03135939,4,6,3,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,229
24554,-0.33588716,7,1.5234151,2,10,4,4,1,-0.14591824,-0.21665621,0.77445644,39,True,True,230
19982,-0.629133,2,-0.42005304,2,3,4,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,231
14975,-1.2156247,7,-0.03135939,4,8,2,2,1,-0.14591824,-0.21665621,-0.11641729,14,False,False,232
29130,-1.5821819,4,-1.9748275,4,8,3,4,1,-0.14591824,-0.21665621,-1.9791532,39,False,False,233
9308,0.91040766,4,1.1347215,5,12,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,234
19301,-0.629133,4,-0.03135939,0,10,1,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,235
8466,-0.9956903,4,-2.752215,4,1,0,4,0,-0.14591824,-0.21665621,-0.6023484,26,False,False,236
2188,-0.70244443,4,-0.03135939,4,12,0,4,1,-0.14591824,-0.21665621,-0.84531397,39,False,False,237
6752,0.17729306,4,-0.42005304,2,8,4,0,1,-0.14591824,-0.21665621,0.3695138,39,False,False,238
31021,-0.92237884,4,-0.80874664,4,8,1,2,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,239
22776,-0.92237884,4,-0.03135939,4,8,3,4,0,-0.14591824,-0.21665621,0.3695138,39,False,False,240
6357,-0.70244443,4,-0.42005304,0,3,0,4,1,-0.14591824,-0.21665621,-0.03542877,39,False,False,241
8176,2.9631286,4,-0.03135939,2,1,4,4,1,-0.14591824,-0.21665621,-1.6551992,39,False,False,242
27058,-0.629133,2,-0.80874664,2,1,5,4,0,-0.14591824,-0.21665621,-0.03542877,39,False,False,243
